?# 繁體中文(香港)
?# head menu
Hi;"你好"
just before;"剛剛"
user cloud;"用戶雲"

?# form

Please correct the errors and submit the form again;"請先更正錯誤，然後再提交表格"
"'%value%' is more than %max% characters long";"'%value%' 多於%max%字"
Public Event;"公開活動"
Private Event;"私人活動"
Attraction;"景點"

toggle_editor;"切換編輯器"
new_event_event_type;"屬性"
new_event_name;"名稱"
new_event_place;"地點"
Period;"時期"
new_event_is_any_time;"任何時間"
new_event_is_all_day;"整天"
new_event_begin_date;"起始日期"
new_event_end_date;"結束日期"
new_event_begin_time;"起始時間"
new_event_end_time;"結束時間"
new_event_datetime_note;"時間描述"
new_event_description;"描述"
new_event_tree_ids;"分類"
Price;"價錢"
new_event_price_is_free;"免費?"
new_event_price_min;"最低費用"
new_event_price_max;"最高費用"
new_event_price;"價錢"
new_event_price_note;"價錢描述"
new_event_traffic_note;"方向指南"
new_event_organiser_name;"主辦方名字"
new_event_organiser_detail;"主辦方描述"
new_event_time;"時間"
new_event_application_datetime_note;"申請時間描述"
Collapse...;"收回..."

new_event_load;"載入"
new_event_save;"儲存"
new_event_submit;"提交"
new_event_more_detail;"儲存並提交更多資料..."

Tags;"標簽"
Add tags to personalize your event exposure;"添加標簽以讓您的活動更能針對特定興趣的人士"


New Event;"新建活動"
Event Type;"活動屬性"
Private;"私人"
Public;"公開"
General;"活動基本資訊"
Event Name;"活動名稱"
Category;"活動類別"
Contact Detail;"聯絡資訊"
Organiser Name;"主辦者姓名"
Organiser Telephone;"主辦者電話"
Organiser Website;"主辦者網址"
Organiser Email;"主辦者電郵"
Event Application;"活動報名"
Price Note;"費用資訊"
Traffic Note;"交通資訊"
Save;"儲存"
Period;"時期"
Application Venue;"報名場地"
All day;"整天"
Not time specific;"無間斷"
Please specify;"請指定"
Period Properties;"時間屬性"
Date From;"日期自"
Application Date From;"報名日期自"
Previous;"上一步"
Next;"下一步"
Event Description;"活動描述"
Time note(optional);"進一步時間資訊(選填)"
Booking note(optional);"有關票務之進一步資訊(選填)"
Please choose correct tree path to help your event easier to reach target group;"選擇合適的子類別，可幫助您的活動得到更有效的曝光。"
Filter tags by keyword;"關鍵字過濾"
All;"全部"
Selected;"已選取"
"Suggest new tag(s) (seperate with comma)";"建議新標簽（以逗號分隔）"
Public Event;"公開活動"
Private Event;"私人活動"
Information;"資訊"
note: ;"註解："
Submit Event - Advanced;"提交活動－進階"
Submit Event - Simple;"提交活動－初階"
Minimum Price;"最低費用"
Maximum Price;"最高費用"
Free? ;"免費？"
Application; "報名"
Application Time Note; "報名時間備註"
Application Price Note; "報名費用備註"
Application Traffic Note; "報名交通備註"


Report Activity;"爆料 - 活動"
Report Promotion News;"爆料 - 熱賣優惠"
Report Nearby Store;"爆料 - 樓下熱店"
Mode;"模式"
Simple;"簡易"
Custom;"自訂"
Promotion Name;"熱賣優惠名稱"
Promotion Description;"熱賣優惠簡介"
Reference Link;"參考連結"
We are new organisation / retailer;"我們是新組織/零售商"
If you are individual sellers, or already become the admistrator of existing target store profile(s), please go to;"如果你是個人賣家，或已成為目標店鋪專頁的管理員，請前往"
here ;"此處"
to sell immediately without approval!;"，無須經過審閱，即能發布推銷！"
Shop Name;"舖名"
Shop Description;"店舖簡介"
Address;"地址"
Contact Person;"聯絡人"
Contact Number;"聯絡電話"
Submit New　Retailer Store...;"提交新舖"
Offline Medium;"離線媒介"
Origin;"來源"
Personal Experience;"個人體驗"
Load previous draft;"載入上次草稿"
Save draft;"儲存草稿"
Select Images;"選擇圖片"
Locate!;"定位!"
This field is required.;"
Please specify at least 1 source. The more sources you specify, the higher chance your submission could be approved.;" 請指明至少一個來源。指明的來源愈多，獲准發布的機會愈大"
at most 4 tags;"最多輸入4個"
Promotion Period;"促銷期"
From;"從"
to;"到"
Submit as;"發布身分"
Individual;"個人"
Retailer(s);"商鋪"
Seller(s);"賣家"
Seller Address;"賣家地址"
They can be any organisations or individuals;"組織或個人皆可"
More settings...;"更多選項..."
Less settings...;"較少選項..."
Organiser(s);"搞手"
Organisation(s);"組織"
If not specified, your post identity will be used;"如不指明,系統將預設為你的發布身份"
Free;"免費"
Place;"地點"
Begin Time;"起始時間"
End Time;"結束時間"
please choose...;"請選擇..."
Invite Guests;"邀請客人"
related item;"相關項目"
name;"名稱"
gelocate;"定位"
gelocating;"定位中"
cancel gelocation;"取消定位"
hit enter to add;"按enter添加"
required payment method;"所需付款方式"
any;"不限"
specific;"指定"
cash;"現金"
credit card;"信用卡"
bank transfer;"銀行轉帳"
geolocating failed. Please check if the place name is valid and try again;"定位不能。請檢查你輸入的地點正確並重試一次。"
max. 1 MB per image;"每張最大為1 MB"
specify your interest;"請指定你的興趣"
login name;"登入名稱"
password;"密碼"
There is a problem processing your submission. Please check your input and try again.;"在處理您的數據時出現問題，請檢查輸入內容並重試。"
set price;"設置費用"
set discount message...;"設置優惠訊息..."
discount price;"優惠價"
discount percentage;"優惠百分比"
custom;"自訂"

?# item detail
Map;"地圖"
Address;"地址"

?# search
Search;"搜索"

?# pop up message
To customise your own interest, please login first.;"請先登入以自訂你自己的興趣。"
Connection failed. Please try again later.;"連接失敗，請稍後再試。"

?# product/service profile
Available Sales Locations;"售賣地點"
Normal Price;"常規價格"
Highlighted Current Offers;"現時重點買賣"
More...;"更多..."
Feeds;"動態源"

?# user profile
follow cloud;"跟蹤雲"
unfollow cloud;"取消跟蹤雲"
follow user;"跟蹤用戶"
activity index;"活動指數"
membership level;"會員級數"
consecutive days of no posts;"連續無發帖日數"
never;"從未"
basic;"基本"
advanced;"進階"
professional;"專業"
verified;"認証"
Posted Events;"已發布的活動"
Bookmarked Events;"關注活動"
Include local holidays;"包括本地假期"
All tags;"所有書簽"
Event;"活動"
Event from ;"活動由 "
Tag from ;"書簽由 "
to ;"至 "
Manage your interest;"興趣管理"
Choose;"選取"
Tag group;"標籤組"
Tag;"標籤"
Apply times;"應用次數"
Last used;"最後採用"
First used;"首次採用"

?# categories
category tags;"分類標簽"
meals;"飲食"
chinese dishes;"中菜"
japanese dishes;"日本菜"
french dishes;"法國菜"
italy dishes;"意大利菜"
desserts;"甜品"
activities;"活動"
movies;"電影"
karaoke;"卡拉OK"
sports;"運動"
fitness;"健身"
petkeeping;"寵物"
tutoring;"補習"
traveling;"旅遊"
fashion;"潮流"
clothing;"衣著"
shoes;"鞋"
handbags;"手袋"
makeups;"美容化妝"
electronics;"電子產品"
computers;"電腦"
mobiles;"手提設備"
cameras;"相機"
books;"書籍"
textbooks;"教科書"
comics;"卡通"
magazines;"雜誌"
games;"遊戲"
TV games;"電視遊戲"
computer games;"電腦遊戲"
musics;"音樂"
chinese music;"華語音樂"
western music;"西洋音樂"

?# profile
tag name;"標簽名"

?# settings
Personal Details;"個人資料"
Social Media;"社交網"
Display Language;"顯示語言"
Timezone;"時區"
Gender;"性別"
Location;"位置"
Birth;"生日"
Homepage;"網站"
When I add a bookmark;"當我加Bookmark時"
When I create an event;"當我加活動時"
Public;"公開"
Friends;"朋友"
Only Me;"只有我"
Reset;"重置"
Apply;"套用"
Please select a country...;"請選擇國家..."
Male;"男"
Female;"女"
Setting;"設定"
Show Map;"顯示地圖"
Hide Map;"隱藏地圖"

?#interest
User ;"用戶 "
event;"活動 "
Interest;"興趣 "
Your Interest;"您的興趣 "
Tag;"Tag"
Type;"種類 "
Score;"分數"
Bookmarked Items;"最愛項目"
Create Time;"創建時間"
Update Time;"更新時間 "

?#dialog
Cancel;"取消"

?# add event popup
Add Personal Event;"加入個人活動"
Event topic;"活動主題"
Event detail;"活動內容"

?# auth
Please login;"請登入"
click here;"請按此"
Not yet registered? ;"還未登記？"
Password;"密碼"
Forgot password?;"忘記密碼"
Confirmed Password;"確認密碼"
Verification Code;"驗証碼"
Register;"登記"
Already registered? ;"己經成為會員？"
Forgot Password;"忘記密碼"
Request for reset password;"請求重置密碼"

?# email templates
Account confirmation from Tagbees;"請驗証您的Tagbees帳號"

?# user activities
is tagged in;"被標簽在"
